App,Shortcut,Name,Tags,Pinned,description,subcategory
macOS,Control-Command-Space,Emoji & Symbols,text work,0,"Show the Character Viewer to choose emoji, symbols, and other characters",
macOS,Shift-Command-5,Screenshot,screengrab work,0,Open Screenshot utility to capture screen images or record video,
macOS,Command-Space,Spotlight,search work productivity,0,Show or hide the Spotlight search field,
ChatGPT,⌘Space,ChatGPT Chat Bar,chatgpt,0,Open ChatGPT Chat Bar for Quick Message,
macOS,⌘C,Copy,macos clipboard command,0,Copy the selected item to the Clipboard. This also works for files in the Finder.,"Cut, copy, and paste"
macOS,⌘V,Paste,macos system clipboard paste command,0,Paste the contents of the Clipboard into the current document or app. This also works for files in the Finder.,
Raycast,Option-N,Raycast Notes,untagged,0,Raycast Notes,
Supercharge,Command-F4,Capture and Translate,untagged,0,Capture and Translate,
Obsidian,Control-A,Add Alias,Obsidian,0,Add Alias,
Obsidian,Control-Option-Command-T,AI Tagger,Obsidian,0,AI Tagger,
Shortcuts,Control-S,Save Clipboard to File,untagged,0,Save Clipboard to File,
Finder,Shift-Command-.,Show Hidden Files,finder files,0,Show Hidden Files in Finder,
Supercharge,Command-Escape,Hide All Windows,display windows,0,Hide All Windows,
Supercharge,Command-F1,Dark Mode,display,0,Dark Mode,
PastePal,Command-[,Previous Collection,pastepal collection,0,Previous Collection,
PastePal,Command-],Next Collection,pastepal collection,0,Next Collection,
Cursor,Shift-Command-X,Split Notebook Cell,cursor,0,Split Notebook Cell,
Cursor,Command-C,Copy Notebook Cell,cursor,0,Copy Notebook Cell,
Cursor,Option-C,Copy Notebook Cell Output,cursor,0,Copy Notebook Cell Output,
Bartender,Command-.,Toggle Always Hidden Section,ice menubar,0,Toggle Always Hidden Section,
PixelSnap 2,Command-F7,Restore Last Session,screenshot clipboard fn key pixelsnap,0,Restore Last Session,
PixelSnap 2,F7,Pixelsnap 2,screenshot clipboard fn key pixelsnap menubar,0,Pixelsnap 2,
TextSniper,Command-F6,Additive Clipboard,screenshot textsniper fn key,0,Additive Clipboard,
TextSniper,F6,Capture Text,screenshot textsniper fn key,0,Capture Text,
CleanShot X,Shift-Command-F8,Capture FullScreen,screenshot cleanshot fn key,0,Capture FullScreen,
CleanShot X,Option-A,Scrolling Capture,screenshot cleanshot,0,Scrolling Capture,
CleanShot X,F8,Capture Area,screenshot cleanshot fn key menubar,0,Capture Area,
CleanShot X,Command-F8,All-in-One ScreenCapture,screenshot cleanshot fn key,0,All-in-One ScreenCapture,
CleanShot X,Option-F8,Capture Previous Area,screenshot cleanshot fn key,0,Capture Previous Area,
Finder,Option-Command-Space,Show Finder Search Window,files and folders,0,Show Finder Search Window,
FindAnyFile,Option-Command-F,FindAnyFile,open app,0,FindAnyFile,
Raycast,Caps Lock,Raycast,raycast open app,0,Raycast,
PastePal,Option-V,Paste From Queue,clipboard,0,Paste From Queue,
PastePal,Control-Command-V,Main Window,clipboard,0,Main Window,
PastePal,Shift-Command-C,Clipboard Queue,clipboard,0,Clipboard Queue,
PastePal,Shift-Caps Lock,Toggle Side Window,clipboard,0,Toggle Side Window,
Launchpad,Control-Tab,Launchpad,macOS,0,Launchpad,
FindAnyFile,Control-Space,Terminal,macOS,0,Terminal,
Supercharge,F4,Opens Finder,untagged,0,Opens Finder,
Raycast,Global Hotkey,Shift-Option-Command,Main Raycast launcher hotkey,0,Shift-Option-Command,
Raycast,Command+W,Close Raycast window (onboarding shortcut),0,⌘W,,
System Preferences,Left Arrow + Control,Move window to left half of screen,system window-management,0,Move window to left half of screen,
System Preferences,Up Arrow + Control,Maximize window to full screen,system window-management,0,Maximize window to full screen,
System Preferences,Right Arrow + Control,Move window to right half of screen,system window-management,0,Move window to right half of screen,
macOS,Fn + F11,Toggle Dock Hiding,system dock navigation,0,Toggle dock auto-hide feature,
macOS,Fn + Shift + F11,Open Launchpad,system dock navigation,0,Open Launchpad for app access,
macOS,Fn + F16,Open Notification Center,system notifications,0,Open Notification Center,
macOS,Fn + F17,Toggle Do Not Disturb,system notifications,0,Toggle Do Not Disturb mode,
